pl_name,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmassprov,discoverymethod
"HATS-64 b",305.11680000,63.56600000,-63.56600000,18.81991100,0.90792900,-0.90792900,"Mass","Transit"
"TOI-2876 b",54.03082919,16.52707716,-16.52707716,9.63972340,0.33626942,-0.31385146,"Mass","Transit"
"Kepler-80 f",4459.73000000,,,1.21000000,0.06000000,-0.05000000,"Mass","Transit"
"HIP 94235 b",379.00000000,,,3.00000000,0.32000000,-0.28000000,"Mass","Transit"
"HD 126614 b",107.74382997,64.83699503,-6.03873973,12.70000000,,,"Mass","Radial Velocity"
"Kepler-33 e",5.57000000,1.16000000,-1.07000000,4.02000000,0.38000000,-0.38000000,"Mass","Transit"
"Kepler-123 b",55.30000000,31.20000000,-27.80000000,2.94000000,0.57000000,-0.57000000,"Mass","Transit"
"KMT-2023-BLG-0416L b",13.03096469,6.35656814,-6.67439655,3.67000000,,,"Mass","Microlensing"
"HD 260655 b",2.14000000,0.34000000,-0.34000000,1.24000000,0.02300000,-0.02300000,"Mass","Transit"
"CoRoT-13 b",415.70400000,20.97600000,-20.97600000,9.92000000,0.15700000,-0.15700000,"Mass","Transit"
"Kepler-413 b",67.00000000,22.00000000,-21.00000000,4.34700000,0.09900000,-0.09900000,"Mass","Transit"
"HR 2562 b",6992.22495400,,,12.44199000,1.23299000,-1.23299000,"Mass","Imaging"
"HD 190360 d",11.90000000,6.20000000,-1.70000000,3.48000000,,,"Mass","Radial Velocity"
"Kepler-1704 b",1322.16617312,92.17023803,-88.99195396,11.94877343,0.49319515,-0.47077719,"Mass","Transit"
"TOI-4562 c",1833.86990839,117.59651059,-177.98390792,12.80000000,,,"Mass","Transit Timing Variations"
"TOI-201 c",4990.00000000,100.00000000,-100.00000000,10.40000000,0.30000000,-0.30000000,"Mass","Transit Timing Variations"
"XO-5 b",378.20000000,9.53000000,-9.53000000,12.78000000,0.34000000,-0.34000000,"Mass","Transit"
"GJ 9827 b",4.28000000,0.35000000,-0.33000000,1.44000000,0.09000000,-0.07000000,"Mass","Transit"
"GJ 367 b",0.50300000,0.07800000,-0.07800000,0.73600000,0.03500000,-0.03500000,"Mass","Transit"
"NGTS-4 b",20.60000000,3.00000000,-3.00000000,3.18000000,0.26000000,-0.26000000,"Mass","Transit"
"MOA-2022-BLG-249L b",4.83000000,1.44000000,-1.44000000,2.04000000,,,"Mass","Microlensing"
"TOI-6016 b",371.85923619,28.60455663,-28.60455663,13.67495645,0.33626942,-0.33626942,"Mass","Transit"
"HD 106270 b",3623.24383980,731.00533610,-381.39408840,12.40000000,,,"Mass","Radial Velocity"
"TOI-5720 b",4.30000000,,,1.09000000,0.07000000,-0.07000000,"Mass","Transit"
"HAT-P-39 b",190.37200000,31.46400000,-31.46400000,17.60900000,1.21100000,-0.90800000,"Mass","Transit"
"Kepler-203 d",33.90000000,183.40000000,-33.20000000,1.44000000,0.28000000,-0.28000000,"Mass","Transit"
"WASP-43 b",565.71400000,31.78200000,-31.78200000,10.42400000,0.78500000,-1.00900000,"Mass","Transit"
"TOI-181 b",46.16870000,2.71000000,-7.83000000,6.95590000,0.08700000,-0.10100000,"Mass","Transit"
"Kepler-1513 b",48.30991786,33.05415433,-19.38753283,8.59400000,0.03600000,-0.02200000,"Mass","Transit"
"HATS-16 b",1039.30410000,60.38770000,-60.38770000,14.57170000,1.68135000,-1.68135000,"Mass","Transit"
"TOI-251 b",317.83000000,,,2.74000000,0.18000000,-0.18000000,"Mass","Transit"
"K2-3 c",2.68000000,0.85000000,-0.85000000,1.58200000,0.05700000,-0.05100000,"Mass","Transit"
"HATS-3 b",340.38200000,43.22300000,-43.22300000,15.48000000,0.39200000,-0.39200000,"Mass","Transit"
"Kepler-197 c",5.30000000,3.30000000,-2.90000000,1.23000000,0.04000000,-0.04000000,"Mass","Transit"
"CoRoT-36 b",216.12331676,149.37935129,-136.66621501,15.80466279,1.56925730,-1.56925730,"Mass","Transit"
"TOI-1478 b",279.68899816,34.96112477,-38.13940884,11.99360935,1.79343691,-1.12089807,"Mass","Transit"
"GJ 832 b",314.65012293,28.60455663,-25.42627256,13.80000000,,,"Mass","Radial Velocity"
"TOI-1294 b",63.90000000,4.70000000,-4.50000000,10.12369881,0.23643767,-0.22090361,"Mass","Transit"
"HD 222155 b",581.62598481,111.23994245,-82.63538582,13.40000000,,,"Mass","Radial Velocity"
"WASP-151 b",100.43377661,9.85268062,-9.85268062,13.30506009,0.23538859,-0.23538859,"Mass","Transit"
"Kepler-414 b",3.50000000,3.40000000,-2.90000000,1.71000000,0.31000000,-0.14000000,"Mass","Transit Timing Variations"
"K2-38 b",7.30000000,1.10000000,-1.00000000,1.54000000,0.14000000,-0.14000000,"Mass","Transit"
"WASP-96 b",152.55000000,9.53000000,-9.53000000,13.45000000,0.67000000,-0.67000000,"Mass","Transit"
"Kepler-29 b",5.00000000,1.50000000,-1.30000000,2.55000000,0.12000000,-0.12000000,"Mass","Transit"
"TOI-178 e",3.48000000,0.29000000,-0.29000000,2.30100000,0.03800000,-0.03900000,"Mass","Transit"
"TOI-5108 b",32.00000000,5.00000000,-5.00000000,6.60000000,0.10000000,-0.10000000,"Mass","Transit"
"TOI-4914 b",227.00000000,13.00000000,-13.00000000,12.87000000,0.36000000,-0.36000000,"Mass","Transit"
"TOI-4495 b",7.70000000,1.40000000,-1.50000000,2.48300000,0.13800000,-0.09500000,"Mass","Transit"
"USco1556 b",4767.45000000,635.66000000,-635.66000000,12.30000000,,,"Mass","Imaging"
"Kepler-238 b",3305.02000000,,,1.73000000,0.40000000,-0.40000000,"Mass","Transit"
"Kepler-350 c",6.10000000,3.30000000,-3.20000000,3.10000000,1.42000000,-0.60000000,"Mass","Transit"
"HD 187123 c",912.16752809,127.13136280,-133.48793094,13.20000000,,,"Mass","Radial Velocity"
"HD 219134 c",4.36000000,0.22000000,-0.22000000,1.51100000,0.04700000,-0.04700000,"Mass","Radial Velocity"
"HD 142 b",2256.58168970,317.82840700,-317.82840700,12.70000000,,,"Mass","Radial Velocity"
"HD 125390 b",8646.20398403,1311.99566410,-99.48029139,11.90000000,,,"Mass","Radial Velocity"
"Kepler-34 b",69.92000000,3.49600000,-3.17800000,8.56400000,0.13500000,-0.15700000,"Mass","Transit"
"TOI-375 b",236.78216321,16.52707716,-16.84490557,10.77183045,0.49319515,-0.48198617,"Mass","Transit"
"WASP-64 b",403.94500000,21.61200000,-21.61200000,14.24700000,0.43700000,-0.43700000,"Mass","Transit"
"WASP-190 b",317.83000000,31.78300000,-31.78300000,12.89035000,1.00881000,-1.00881000,"Mass","Transit"
"HIP 55507 b",2585.53409095,792.02839024,-546.34703163,12.60000000,,,"Mass","Radial Velocity"
