tempo_s,strain_H1,strain_L1
-1.881104,-3.064816e-19,-1.274686e-18
-1.880859,-3.077821e-19,-1.265647e-18
-1.880615,-2.970535e-19,-1.258565e-18
-1.880371,-3.244799e-19,-1.293595e-18
-1.880127,-3.420127e-19,-1.328758e-18
-1.879883,-3.139197e-19,-1.321804e-18
-1.879639,-3.262622e-19,-1.299101e-18
-1.879395,-3.476824e-19,-1.300169e-18
-1.879150,-3.431090e-19,-1.313816e-18
-1.878906,-3.506880e-19,-1.310743e-18
-1.878662,-3.417855e-19,-1.306843e-18
-1.878418,-3.546366e-19,-1.335758e-18
-1.878174,-3.851140e-19,-1.369081e-18
-1.877930,-3.596115e-19,-1.361269e-18
-1.877686,-3.576513e-19,-1.340133e-18
-1.877441,-3.891494e-19,-1.339675e-18
-1.877197,-3.830275e-19,-1.352222e-18
-1.876953,-3.858066e-19,-1.354552e-18
-1.876709,-3.875401e-19,-1.349905e-18
-1.876465,-3.838444e-19,-1.377587e-18
-1.876221,-4.160035e-19,-1.410027e-18
-1.875977,-4.092483e-19,-1.397814e-18
-1.875732,-3.879734e-19,-1.376341e-18
-1.875488,-4.203216e-19,-1.376990e-18
-1.875244,-4.235920e-19,-1.388147e-18
-1.875000,-4.158038e-19,-1.392838e-18
-1.874756,-4.272012e-19,-1.393539e-18
-1.874512,-4.165414e-19,-1.417834e-18
-1.874268,-4.394635e-19,-1.447095e-18
-1.874023,-4.534378e-19,-1.437352e-18
-1.873779,-4.209455e-19,-1.412094e-18
-1.873535,-4.408666e-19,-1.412069e-18
-1.873291,-4.622819e-19,-1.423309e-18
-1.873047,-4.431956e-19,-1.427058e-18
-1.872803,-4.547341e-19,-1.432537e-18
-1.872559,-4.552134e-19,-1.456686e-18
-1.872314,-4.569473e-19,-1.481736e-18
-1.872070,-4.857203e-19,-1.469603e-18
-1.871826,-4.599629e-19,-1.444709e-18
-1.871582,-4.555687e-19,-1.445032e-18
-1.871338,-4.956054e-19,-1.456063e-18
-1.871094,-4.768363e-19,-1.460891e-18
-1.870850,-4.748570e-19,-1.469651e-18
-1.870605,-4.884619e-19,-1.492434e-18
-1.870361,-4.777800e-19,-1.512174e-18
-1.870117,-5.043923e-19,-1.501577e-18
-1.869873,-4.964989e-19,-1.475072e-18
-1.869629,-4.741335e-19,-1.473377e-18
-1.869385,-5.109107e-19,-1.485162e-18
-1.869141,-5.093670e-19,-1.490406e-18
-1.868896,-4.919766e-19,-1.504128e-18
-1.868652,-5.115970e-19,-1.526259e-18
-1.868408,-5.052941e-19,-1.541730e-18
-1.868164,-5.149690e-19,-1.529963e-18
-1.867920,-5.278453e-19,-1.503954e-18
-1.867676,-4.977853e-19,-1.501867e-18
-1.867432,-5.180842e-19,-1.512450e-18
-1.867188,-5.384289e-19,-1.517796e-18
-1.866943,-5.109554e-19,-1.531195e-18
-1.866699,-5.259322e-19,-1.554560e-18
-1.866455,-5.303812e-19,-1.567895e-18
-1.866211,-5.243955e-19,-1.553970e-18
-1.865967,-5.472007e-19,-1.528458e-18
-1.865723,-5.262998e-19,-1.526146e-18
-1.865479,-5.240777e-19,-1.537219e-18
-1.865234,-5.561073e-19,-1.539890e-18
-1.864990,-5.367848e-19,-1.556793e-18
-1.864746,-5.346261e-19,-1.582926e-18
-1.864502,-5.491345e-19,-1.590129e-18
-1.864258,-5.378525e-19,-1.574210e-18
-1.864014,-5.565240e-19,-1.549377e-18
-1.863770,-5.512225e-19,-1.546163e-18
-1.863525,-5.316475e-19,-1.557414e-18
-1.863281,-5.626542e-19,-1.562327e-18
-1.863037,-5.578523e-19,-1.577478e-18
-1.862793,-5.421630e-19,-1.603278e-18
-1.862549,-5.625298e-19,-1.611831e-18
-1.862305,-5.545183e-19,-1.592335e-18
-1.862061,-5.604128e-19,-1.568989e-18
-1.861816,-5.698770e-19,-1.565550e-18
-1.861572,-5.447039e-19,-1.572832e-18
-1.861328,-5.632172e-19,-1.577438e-18
-1.861084,-5.753608e-19,-1.591704e-18
-1.860840,-5.500507e-19,-1.619945e-18
-1.860596,-5.663453e-19,-1.626899e-18
-1.860352,-5.682792e-19,-1.602667e-18
-1.860107,-5.605793e-19,-1.580799e-18
-1.859863,-5.787382e-19,-1.577845e-18
-1.859619,-5.587603e-19,-1.586953e-18
-1.859375,-5.607298e-19,-1.591676e-18
-1.859131,-5.847968e-19,-1.602466e-18
-1.858887,-5.616341e-19,-1.631813e-18
-1.858643,-5.648656e-19,-1.638878e-18
-1.858398,-5.768517e-19,-1.610646e-18
-1.858154,-5.633044e-19,-1.589421e-18
-1.857910,-5.763970e-19,-1.587405e-18
-1.857666,-5.699712e-19,-1.593030e-18
-1.857422,-5.581954e-19,-1.599789e-18
-1.857178,-5.809482e-19,-1.610592e-18
-1.856934,-5.705908e-19,-1.637095e-18
-1.856689,-5.607329e-19,-1.646664e-18
-1.856445,-5.769144e-19,-1.617191e-18
-1.856201,-5.664008e-19,-1.593276e-18
-1.855957,-5.714575e-19,-1.593055e-18
-1.855713,-5.771043e-19,-1.597833e-18
