supernova,z_CMB,modulo_distancia_mu,erro_mu
2003ic,0.05196,36.3930,0.2014
ASASSN-16hc,0.05165,36.5862,0.1568
1993O,0.05148,36.7759,0.2282
2006ot,0.05232,36.8679,0.2083
2006ot,0.05232,36.5433,0.2988
AT2016htn,0.05229,36.8411,0.2182
PS16evk,0.05320,36.9144,0.2075
PS16n,0.05268,36.7752,0.1618
2010dt,0.05291,36.8474,0.1722
2006lu,0.05449,36.8631,0.1338
PS16bby,0.05430,36.8327,0.1789
PS16ayd,0.05485,36.8581,0.1496
SN2017cpu,0.05529,36.6433,0.1754
490007,0.05513,36.8676,0.1944
AT2017oz,0.05641,36.8109,0.1932
2006py,0.05658,36.9098,0.1851
PS16aer,0.05668,37.0393,0.1763
2005hj,0.05631,36.9903,0.1715
2008eq,0.05680,37.0687,0.2213
2006ob,0.05760,36.9821,0.1381
2006ob,0.05760,36.9324,0.1467
SN2016gmb,0.05708,36.9545,0.1828
2001ah,0.05837,36.9802,0.2156
2001ah,0.05837,37.1460,0.2528
LSQ13crf,0.05934,36.3001,0.6175
SN2017cjv,0.06079,37.0320,0.1776
2008bz,0.06130,37.1631,0.1239
2008bz,0.06130,37.1925,0.1606
SN2016hhv,0.06067,37.1383,0.1980
2008go,0.06116,36.9608,0.1961
2008go,0.06116,36.9691,0.1420
2006oa,0.06142,37.0747,0.1833
1992bs,0.06370,37.3517,0.2065
SN2016aqb,0.06419,37.0197,0.1559
PS16bnz,0.06398,37.0786,0.1544
2007ae,0.06485,37.0851,0.1530
PS15cms,0.06603,37.3617,0.2033
6057,0.06652,37.1627,0.2962
SN2016ixf,0.06723,37.4237,0.1944
AT2016aj,0.06731,37.2344,0.2030
PS15bjg,0.06758,37.4935,0.1905
CSS160129,0.06841,37.2381,0.1912
2006al,0.06908,37.4213,0.1593
PTSS17-niq,0.06910,37.2817,0.1741
1993B,0.07076,37.2944,0.2777
2008Y,0.07028,37.2961,0.2269
2008Y,0.07028,37.2775,0.2123
PS17yt,0.07046,37.4787,0.1762
PS16em,0.07113,37.4814,0.4471
2006on,0.07068,37.4543,0.2478
470043,0.07061,37.7291,0.5018
ATLAS16bwu,0.07074,37.3712,0.2283
PS15bdr,0.07094,37.3552,0.1960
PS15bwh,0.07149,37.2494,0.1611
370566,0.07134,37.4155,0.2090
PS15mt,0.07193,37.5618,0.1808
2007jd,0.07196,37.6319,0.1997
PS15atx,0.07301,37.6225,0.3048
Gaia16aki,0.07398,37.5535,0.1765
1992ae,0.07478,37.4346,0.2221
PS17bii,0.07467,37.4501,0.1921
7876,0.07490,37.4763,0.1798
2005ir,0.07490,37.5656,0.1550
2010hs,0.07514,37.8142,0.2891
AT2016gsu,0.07529,37.5461,0.2172
370333,0.07557,37.6342,0.1983
PS15bif,0.07855,37.5715,0.1504
Gaia16acv,0.07833,37.8315,0.1461
17186,0.07849,38.0154,0.2393
2007hx,0.07849,38.0942,0.1801
560033,0.07869,37.5988,0.5033
12779,0.07891,37.7843,0.2382
PS15bzz,0.07901,37.5300,0.1472
350316,0.07966,37.6003,0.1578
2005ag,0.08024,37.6668,0.1193
12950,0.08141,37.7215,0.2196
130308,0.08221,37.8192,0.2176
12898,0.08255,37.6774,0.2656
12781,0.08282,37.9939,0.1951
SN2016glp,0.08366,37.9686,0.2216
3592,0.08544,37.8406,0.1286
SN2016grz,0.08656,37.8484,0.2168
1241,0.08848,37.7772,0.2532
590194,0.09015,37.9202,0.2170
370066,0.09066,38.0269,0.1676
300105,0.09181,38.1602,0.2663
iPTF17dz,0.09284,38.2226,0.4933
010010,0.09968,38.4377,0.1947
160099,0.10142,38.2982,0.1656
000190,0.10237,38.4085,0.1874
140181,0.10231,38.2511,0.1996
100405,0.10298,38.1815,0.1862
13135,0.10338,38.3338,0.1264
20064,0.10351,38.2079,0.1965
13038,0.10485,38.4295,0.2362
18697,0.10638,38.2611,0.1955
20625,0.10684,38.4624,0.1511
3256,0.10694,38.4295,0.2105
120225,0.10728,38.7801,0.4685
21034,0.10751,38.4984,0.1801
500038,0.10810,38.4017,0.1871
7147,0.10886,38.4016,0.1332
020027,0.10988,38.5701,0.1797
18650,0.11243,38.6214,0.1632
18612,0.11365,38.3876,0.1949
8719,0.11628,38.5408,0.1599
5395,0.11635,38.6302,0.1857
2561,0.11741,38.5727,0.2396
16259,0.11771,38.6088,0.2144
1371,0.11797,38.4157,0.1271
000137,0.11878,38.5629,0.2124
5549,0.11992,38.5958,0.2002
12860,0.12042,38.7926,0.2523
490008,0.12067,38.6348,0.3026
19953,0.12190,38.5945,0.1579
390259,0.12208,38.6119,0.2311
18835,0.12262,38.6853,0.1446
2916,0.12303,38.5967,0.2746
16021,0.12336,38.6164,0.1622
13894,0.12356,38.8009,0.3334
570062,0.12363,38.8242,0.1503
6406,0.12377,38.6504,0.1458
19543,0.12384,38.8350,0.2215
13044,0.12455,38.7616,0.1259
15459,0.12542,39.1417,0.2989
2992,0.12608,38.4956,0.2933
16069,0.12688,38.8125,0.2597
744,0.12694,38.6849,0.2809
14871,0.12705,38.7429,0.1595
18855,0.12716,38.7841,0.1769
22075,0.12900,38.7547,0.1510
1032,0.12904,38.8403,0.2128
5751,0.12929,38.8330,0.2504
18415,0.12940,38.8429,0.1427
18809,0.13153,38.8020,0.1346
151034,0.13269,38.7841,0.1222
1334084,0.13349,38.8266,0.2837
15508,0.13353,38.8434,0.1577
14108,0.13463,39.2366,0.1994
15234,0.13514,39.0775,0.3133
000014,0.13599,38.9771,0.2066
17629,0.13640,38.8475,0.1956
