planeta,M_Mterra,erro_M,R_Rterra,erro_R
HD 20329 b,7.4200,1.0900,1.7200,0.0700
TOI-4214 b,165.2708,16.8449,10.6822,0.3587
TOI-3877 b,99.7981,21.9302,11.6798,0.4932
HIP 41378 b,6.9000,0.5000,2.6400,0.0220
pi Men c,3.6300,0.3800,2.0189,0.0465
HATS-43 b,82.9536,17.1628,13.2266,0.5605
WASP-49 b,117.5971,25.4264,12.4420,1.2330
HAT-P-13 b,270.4620,12.0770,14.2580,0.7290
Kepler-25 c,15.2000,1.3000,5.2170,0.0700
HATS-64 b,305.1168,63.5660,18.8199,0.9079
Kepler-33 e,5.5700,1.1600,4.0200,0.3800
HD 260655 b,2.1400,0.3400,1.2400,0.0230
CoRoT-13 b,415.7040,20.9760,9.9200,0.1570
Kepler-1704 b,1322.1662,92.1702,11.9488,0.4932
XO-5 b,378.2000,9.5300,12.7800,0.3400
GJ 9827 b,4.2800,0.3500,1.4400,0.0900
GJ 367 b,0.5030,0.0780,0.7360,0.0350
NGTS-4 b,20.6000,3.0000,3.1800,0.2600
TOI-6016 b,371.8592,28.6046,13.6750,0.3363
HAT-P-39 b,190.3720,31.4640,17.6090,1.2110
WASP-43 b,565.7140,31.7820,10.4240,0.7850
TOI-181 b,46.1687,2.7100,6.9559,0.0870
HATS-3 b,340.3820,43.2230,15.4800,0.3920
TOI-1294 b,63.9000,4.7000,10.1237,0.2364
WASP-151 b,100.4338,9.8527,13.3051,0.2354
K2-38 b,7.3000,1.1000,1.5400,0.1400
WASP-96 b,152.5500,9.5300,13.4500,0.6700
TOI-178 e,3.4800,0.2900,2.3010,0.0380
TOI-5108 b,32.0000,5.0000,6.6000,0.1000
TOI-4914 b,227.0000,13.0000,12.8700,0.3600
TOI-4495 b,7.7000,1.4000,2.4830,0.1380
HD 219134 c,4.3600,0.2200,1.5110,0.0470
Kepler-34 b,69.9200,3.4960,8.5640,0.1350
TOI-375 b,236.7822,16.5271,10.7718,0.4932
WASP-64 b,403.9450,21.6120,14.2470,0.4370
WASP-190 b,317.8300,31.7830,12.8903,1.0088
WASP-74 b,228.8376,38.1396,15.2442,1.1209
TRAPPIST-1 d,0.3880,0.0120,0.7880,0.0110
TOI-1648 b,7.4000,1.1000,2.5400,0.1400
TOI-5817 b,10.3000,1.4000,3.0800,0.1400
EPIC 249893012 d,10.1800,2.4600,3.9400,0.1300
Kepler-1705 b,4.4700,0.4800,2.0300,0.1200
HAT-P-52 b,259.9849,9.2171,11.3099,0.8070
TOI-4438 b,5.4000,1.1000,2.5200,0.1300
TOI-3912 b,129.0383,22.5658,14.2802,0.4596
K2-261 b,68.9688,7.9457,9.2698,0.3699
Kepler-128 b,3.7900,0.7600,1.4210,0.0400
Lupus-TR-3 b,257.4310,57.2070,9.9760,0.7850
TOI-771 b,2.4700,0.3200,1.3600,0.1000
HAT-P-51 b,97.5733,6.6744,13.5068,0.1906
TOI-3894 b,260.6193,44.4960,15.2778,0.6165
CoRoT-10 b,874.0000,50.8500,10.8700,0.7800
TOI-1136 c,6.3200,1.1000,2.8790,0.0600
HD 15337 b,6.5190,0.4090,1.7700,0.0320
TOI-969 b,9.1000,1.0000,2.7650,0.0880
WASP-36 b,750.3966,22.2481,14.8743,0.2354
HATS-30 b,224.3880,12.3954,13.1706,0.5829
TOI-2587 A b,69.2866,17.1627,12.0721,0.4708
Kepler-60 b,4.1900,0.5600,1.7100,0.1300
TOI-3884 b,32.5900,7.3100,6.4300,0.2000
KELT-24 b,1458.8324,57.2091,12.7110,0.3026
HATS-12 b,759.6137,27.6512,7.7600,0.4700
HD 80606 b,1323.4693,1.4938,11.5677,0.1681
Kepler-432 b,1719.4603,101.7056,12.8343,0.4035
XO-1 b,263.7989,41.3179,12.7783,0.7846
TOI-2364 b,71.5114,13.6666,8.6085,0.2578
Kepler-30 d,23.1000,2.7000,8.8000,0.5000
TOI-6692 b,197.0536,25.4263,11.6798,0.5604
